"_id","type","name","surname","address","date","description","photo","sourceName","sourceLink","lngLat","job","photoCredits"
1,"stone","Elena","Recanati","via Ormea 40","(1922-1984)","Ebrea, arrestata dai fascisti nel 1944, imprigionata alle Carceri Nuove di Torino e successivamente deportata ad Auschwitz, Bergen Belsen e Braunschweig. Viene liberata dai sovietici nel 1945.","https://upload.wikimedia.org/wikipedia/commons/7/7e/Elena_Recanati_Foà.jpg","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6829286,45.0556215]",,
2,"stone","Edvige","Lattes","via Passalaqua 6","(1881-1943)","Ebrea, fu arrestata nel 1943 dopo essere andata insieme alla sorella a trovare il fratello alle carceri Nuove. Fu successivamente trasferita a Milano e poi ad Auschwitz dove non superò la selezione iniziale e venne uccisa insieme alla sorella nel 1943.","https://upload.wikimedia.org/wikipedia/commons/4/40/Stolperstein_für_Edvige_Lattes.JPG","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6700084,45.074602]",,
3,"stone","Gemma","Vitale","corso Alcide De Gasperi 14","(1878-1944)","In quanto ebrea, dopo l'occupazione nazista si dovette nascondere per sfuggire alla deportazione. Fu arrestata e detenuta alle cerceri Nuove nel 1943, rilasciata senza spiegazioni e nuovamente arrestata e deportata ad Auschwitz, dove morì nel 1944.",,"Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6621631,45.0579068]",,
4,"stone","Gina","Della Seta","via Cosseria 1","(1894-1944)","Proprietaria insieme al marito della vetreria in corso Regina Margherita, in seguito alle leggi razziali che proibivano agli ebrei di possedere esercizi commerciali, furono costretti a cedere la gestione a dipendenti di fiducia, che la restituirono ai legittimi eredi dopo la Seconda Guerra Mondiale. Gina e il marito si nascosero da parenti in Toscana. Fu arrestata nel 1944 e incarcerata a Firenze, prima di essere deportata ad Auschwitz, dove non superò la selezione iniziale e venne uccisa.","https://upload.wikimedia.org/wikipedia/commons/5/51/Stolperstein_für_Gina_Della_Seta.JPG","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.69518,45.05713]",,
5,"stone","Gina","Della Seta","corso Regina Margherita 27","(1894-1944)","Proprietaria insieme al marito della vetreria in corso Regina Margherita, in seguito alle leggi razziali che proibivano agli ebrei di possedere esercizi commerciali, furono costretti a cedere la gestione a dipendenti di fiducia, che la restituirono ai legittimi eredi dopo la Seconda Guerra Mondiale. Gina e il marito si nascosero da parenti in Toscana. Fu arrestata nel 1944 e incarcerata a Firenze, prima di essere deportata ad Auschwitz, dove non superò la selezione iniziale e venne uccisa.","http://93.62.170.226/foto/gabinio/080B60.jpg","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.7023907,45.0702519]",,
6,"stone","Virginia","Montalcini","via Papacino 2","(1920-1944)","Studentessa al liceo classico Massimo D'Azeglio, fu costretta ad interrompere gli studi in seguito alle leggi razziali del 1938. Detenuta presso le carceri di Milano, venne deportata ad Auschwitz nel 1944, dove non superò la selezione iniziale e venne uccisa.",,"Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6715156,45.0678721]",,
7,"stone","Virginia","Montalcini","via Parini 8","(1920-1944)","Studentessa al liceo classico Massimo D'Azeglio, fu costretta ad interrompere gli studi in seguito alle leggi razziali del 1938. Detenuta presso le carceri di Milano, venne deportata ad Auschwitz nel 1944, dove non superò la selezione iniziale e venne uccisa.",,"Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6758854,45.0651414]",,
8,"stone","Rosetta","Rimini","via Aurelio Saffi 13","(1891-1943)","Ebrea, arrestata dalle Brigate Nere nel 1943 e detenuta presso Le Nuove di Torino, venne poi trasferita nelle carceri di San Vittore a Milano. Deportata ad Auschwitz nel dicembre 1943, fu uccisa immediatamente.","https://upload.wikimedia.org/wikipedia/commons/4/4c/Stolperstein_für_Rosetta_Rimini.JPG","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6520301,45.0746178]",,
9,"stone","Maria Irene","Roscetti","via Po 25","(1892-non pervenuta)","Madre di cinque figli, Ebrea, venne arrestata nel 1943 da forze armate fasciste repubblichine insieme al marito e alla figlia Stella. Detenuta presso Le Nuove di Torino e successivamente trasferita nel campo di Fossoli, arrivò ad Auschwitz nel febbraio del 1944 e da lì non si sono più avute sue notizie.","https://upload.wikimedia.org/wikipedia/commons/9/92/Stolperstein_für_Maria_Irene_Roscetti_in_Valabrega.JPG","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6898276,45.068417]",,
10,"stone","Stella","Valabrega","via Po 25","(1923-1978)","Ebrea, fu arrestata all'età di 20 anni nel 1943 insieme ai genitori. Dopo essere stata prigioniera presso Le Nuove e il campo di Fossoli arrivò ad Auschwitz nello stesso convoglio che trasportava Primo Levi nel febbraio del 1944 dove rimase internata fino al dicembre dello stesso anno. Nel gennaio del 1945 prese parte ad una delle “marce della morte” fino al campo di concentramento di Bergen Belsen. Il lager venne liberato il 15 aprile 1945 dai soldati britannici e Stella curata prima ad Amburgo e in Svezia dalla Croce Rossa. Venne rimpatriata nel settembre 1945.","https://upload.wikimedia.org/wikipedia/commons/4/4e/Stolperstein_für_Stella_Valabrega.JPG","Museo Diffuso Torino","http://pietre.museodiffusotorino.it","[7.6898276,45.068417]",,
